rand_point_id	fid	roi_id	macroclass_id	class_id	B2	B3	B4	B5	B6	B7	B8	B11	longitud	latitud
85	5	s20260528_111001644386_707	5	5	1400	1943	2147	2320	1167	1304	1713	1934	-44.190	-20.144
86	5	s20260528_111001644386_707	5	5	1410	1959	2125	2240	1161	1318	1735	2126	-44.190	-20.144
87	5	s20260528_111001644386_707	5	5	1457	1969	2119	2255	1172	1322	1737	2106	-44.190	-20.144
88	5	s20260528_111001644386_707	5	5	1307	1928	2075	2195	1172	1302	1725	2058	-44.190	-20.144
89	5	s20260528_111001644386_707	5	5	1399	1942	2091	2222	1177	1320	1718	2049	-44.190	-20.144
90	5	s20260528_111001644386_707	5	5	1342	1927	2113	2239	1165	1310	1731	2013	-44.190	-20.144
91	5	s20260528_111001644386_707	5	5	1399	1942	2091	2222	1177	1320	1718	2049	-44.190	-20.144
92	5	s20260528_111001644386_707	5	5	1322	1902	2026	2109	1146	1291	1691	1893	-44.189	-20.144
93	5	s20260528_111001644386_707	5	5	1410	1959	2125	2240	1161	1318	1735	2126	-44.190	-20.144
94	5	s20260528_111001644386_707	5	5	1487	1967	2171	2282	1172	1313	1727	2104	-44.190	-20.144
95	5	s20260528_111001644386_707	5	5	1354	1957	2065	2181	1149	1310	1718	2039	-44.190	-20.144
96	5	s20260528_111001644386_707	5	5	1317	1915	2010	2075	1138	1296	1700	2008	-44.190	-20.144
97	5	s20260528_111001644386_707	5	5	1322	1902	2026	2109	1146	1291	1691	1893	-44.190	-20.144
98	5	s20260528_111001644386_707	5	5	1354	1957	2065	2181	1149	1310	1718	2039	-44.190	-20.144
99	5	s20260528_111001644386_707	5	5	1490	1964	2132	2275	1174	1321	1733	2142	-44.190	-20.144
100	6	s20260603_171139274075_708	1	6	2444	1607	3026	3488	1158	1336	1200	3578	-44.131	-20.132
101	6	s20260603_171139274075_708	1	6	2397	1512	2752	3178	1138	1292	1186	3208	-44.133	-20.133
102	6	s20260603_171139274075_708	1	6	2455	1593	2896	3277	1167	1302	1218	3313	-44.132	-20.134
103	6	s20260603_171139274075_708	1	6	2399	1632	3130	3567	1160	1342	1213	3639	-44.133	-20.132
104	6	s20260603_171139274075_708	1	6	2442	1555	2853	3248	1142	1306	1211	3250	-44.134	-20.132
105	6	s20260603_171139274075_708	1	6	2424	1580	2922	3322	1156	1319	1207	3305	-44.132	-20.131
106	6	s20260603_171139274075_708	1	6	2460	1599	2932	3359	1127	1310	1176	3349	-44.134	-20.132
107	6	s20260603_171139274075_708	1	6	2401	1572	2874	3263	1135	1288	1186	3266	-44.134	-20.133
108	6	s20260603_171139274075_708	1	6	2454	1589	2910	3344	1175	1336	1215	3423	-44.132	-20.135
109	6	s20260603_171139274075_708	1	6	2397	1555	2882	3289	1146	1293	1178	3262	-44.133	-20.133
110	6	s20260603_171139274075_708	1	6	2399	1654	3119	3540	1149	1368	1207	3551	-44.133	-20.132
111	6	s20260603_171139274075_708	1	6	2430	1582	2849	3309	1153	1300	1201	3272	-44.132	-20.133
112	6	s20260603_171139274075_708	1	6	2441	1608	3044	3495	1151	1329	1182	3512	-44.132	-20.132
113	6	s20260603_171139274075_708	1	6	2377	1579	2971	3436	1156	1308	1177	3372	-44.132	-20.132
114	6	s20260603_171139274075_708	1	6	2487	1647	3102	3565	1160	1318	1213	3426	-44.132	-20.132
115	6	s20260603_171139274075_708	1	6	2410	1581	2895	3355	1146	1312	1180	3388	-44.133	-20.133
116	6	s20260603_171139274075_708	1	6	2309	1544	2832	3238	1146	1310	1176	3468	-44.133	-20.133
117	6	s20260603_171139274075_708	1	6	2405	1556	2872	3296	1127	1291	1178	3405	-44.133	-20.133
118	6	s20260603_171139274075_708	1	6	2450	1589	2982	3442	1178	1292	1212	3460	-44.132	-20.133
119	6	s20260603_171139274075_708	1	6	2422	1588	2948	3376	1160	1317	1190	3320	-44.132	-20.132
120	7	s20260603_171234078479_399	1	7	2450	1667	3185	3676	1140	1342	1194	3740	-44.177	-20.139
121	7	s20260603_171234078479_399	1	7	2485	1679	2985	3440	1169	1357	1218	3473	-44.179	-20.137
122	7	s20260603_171234078479_399	1	7	2456	1611	2972	3514	1163	1286	1193	3369	-44.178	-20.138
123	7	s20260603_171234078479_399	1	7	2459	1645	2988	3468	1171	1332	1211	3540	-44.179	-20.138
124	7	s20260603_171234078479_399	1	7	2463	1670	2974	3450	1176	1366	1219	3610	-44.179	-20.136
125	7	s20260603_171234078479_399	1	7	2353	1580	2927	3421	1133	1210	1146	2921	-44.178	-20.136
126	7	s20260603_171234078479_399	1	7	2457	1657	3032	3463	1160	1335	1197	3446	-44.180	-20.136
127	7	s20260603_171234078479_399	1	7	2467	1657	3049	3515	1181	1370	1215	3563	-44.178	-20.136
128	7	s20260603_171234078479_399	1	7	2410	1604	2849	3286	1147	1294	1183	3241	-44.178	-20.138
129	7	s20260603_171234078479_399	1	7	2385	1618	2924	3407	1154	1288	1170	3317	-44.179	-20.137
130	7	s20260603_171234078479_399	1	7	2365	1589	2777	3172	1153	1320	1205	3311	-44.179	-20.137
131	7	s20260603_171234078479_399	1	7	2483	1717	3130	3566	1185	1366	1213	3700	-44.180	-20.136
132	7	s20260603_171234078479_399	1	7	2368	1556	2754	3211	1120	1229	1173	2967	-44.178	-20.137
133	7	s20260603_171234078479_399	1	7	2467	1659	3145	3637	1170	1366	1180	3779	-44.179	-20.138
134	7	s20260603_171234078479_399	1	7	2497	1708	3076	3514	1180	1378	1229	3559	-44.180	-20.136
135	7	s20260603_171234078479_399	1	7	2516	1699	3114	3612	1153	1347	1195	3728	-44.179	-20.137
136	7	s20260603_171234078479_399	1	7	2478	1647	2952	3361	1164	1320	1214	3361	-44.178	-20.137
137	7	s20260603_171234078479_399	1	7	2452	1626	2984	3528	1154	1312	1221	3713	-44.178	-20.138
138	7	s20260603_171234078479_399	1	7	2437	1638	3036	3578	1138	1321	1185	3608	-44.179	-20.138
139	7	s20260603_171234078479_399	1	7	2553	1711	3097	3568	1177	1342	1220	3542	-44.180	-20.137
140	8	s20260603_171256864635_727	1	8	2428	1660	3093	3668	1166	1330	1200	3570	-44.191	-20.130
141	8	s20260603_171256864635_727	1	8	2468	1770	3349	3855	1185	1406	1235	3915	-44.190	-20.131
142	8	s20260603_171256864635_727	1	8	2471	1671	3186	3692	1162	1338	1184	3736	-44.192	-20.132
143	8	s20260603_171256864635_727	1	8	2445	1643	2979	3459	1166	1349	1195	3586	-44.192	-20.131
144	8	s20260603_171256864635_727	1	8	2439	1638	3107	3682	1148	1324	1192	3757	-44.192	-20.131
145	8	s20260603_171256864635_727	1	8	2481	1657	3106	3600	1158	1355	1206	3710	-44.191	-20.132
146	8	s20260603_171256864635_727	1	8	2411	1638	2957	3474	1174	1369	1227	3513	-44.191	-20.131
147	8	s20260603_171256864635_727	1	8	2380	1656	2955	3375	1161	1342	1196	3424	-44.191	-20.131
148	8	s20260603_171256864635_727	1	8	2564	1725	3266	3778	1159	1382	1216	3940	-44.191	-20.133
149	8	s20260603_171256864635_727	1	8	2517	1697	3206	3732	1168	1362	1195	3820	-44.191	-20.133
150	8	s20260603_171256864635_727	1	8	2530	1691	3151	3700	1166	1376	1214	3699	-44.191	-20.133
151	8	s20260603_171256864635_727	1	8	2425	1614	3018	3518	1151	1282	1191	3443	-44.192	-20.131
152	8	s20260603_171256864635_727	1	8	2452	1646	3117	3623	1154	1363	1200	3810	-44.192	-20.130
153	8	s20260603_171256864635_727	1	8	2471	1640	3058	3548	1147	1309	1191	3448	-44.192	-20.131
154	8	s20260603_171256864635_727	1	8	2540	1701	3131	3631	1161	1346	1193	3624	-44.191	-20.132
155	8	s20260603_171256864635_727	1	8	2425	1614	3018	3518	1151	1282	1191	3443	-44.192	-20.131
156	8	s20260603_171256864635_727	1	8	2524	1728	3150	3628	1188	1362	1215	3709	-44.191	-20.132
157	8	s20260603_171256864635_727	1	8	2516	1741	3256	3792	1166	1357	1197	3814	-44.190	-20.130
158	8	s20260603_171256864635_727	1	8	2534	1718	3255	3779	1180	1404	1213	3983	-44.191	-20.133
159	8	s20260603_171256864635_727	1	8	2464	1668	3082	3517	1147	1368	1209	3583	-44.192	-20.131
160	9	s20260603_171333870228_299	1	9	2404	1603	3096	3542	1193	1349	1214	3820	-44.141	-20.127
