rand_point_id	fid	roi_id	macroclass_id	class_id	B2	B3	B4	B5	B6	B7	B8	B11	Longitud	Latitud
61	2	s20260528_110443305727_435	2	2	3348	2234	2777	3060	1446	1767	2276	3155	-4.420.544.644	-2.014.346.410
62	2	s20260528_110443305727_435	2	2	3444	2500	2897	3134	1638	1925	2366	3039	-4.420.640.171	-2.014.342.119
63	2	s20260528_110443305727_435	2	2	3372	2412	2824	3040	1420	1686	1943	2742	-4.420.636.588	-2.014.354.514
64	2	s20260528_110443305727_435	2	2	3302	2192	2725	2910	1438	1620	1790	2603	-4.420.550.506	-2.014.342.331
65	2	s20260528_110443305727_435	2	2	3295	2133	2730	2961	1238	1386	1351	3181	-4.420.531.599	-2.014.325.913
66	2	s20260528_110443305727_435	2	2	3333	2284	3040	3249	1412	1700	1822	3543	-4.420.489.498	-2.014.382.680
67	2	s20260528_110443305727_435	2	2	3346	2189	2789	3006	1470	1657	1704	3184	-4.420.522.052	-2.014.386.737
68	2	s20260528_110443305727_435	2	2	3298	2382	2780	2961	1500	1696	1932	2592	-4.420.635.291	-2.014.366.511
69	2	s20260528_110443305727_435	2	2	3355	2238	2786	3045	1396	1620	1974	2906	-4.420.542.450	-2.014.351.575
70	2	s20260528_110443305727_435	2	2	3431	2383	2992	3187	1572	1824	1986	2722	-4.420.651.827	-2.014.339.169
71	2	s20260528_110443305727_435	2	2	3344	2270	2565	2791	1564	1678	1780	2504	-4.420.588.898	-2.014.335.594
72	2	s20260528_110443305727_435	2	2	3440	2455	2914	3186	1574	1862	2148	3092	-4.420.628.554	-2.014.348.713
73	2	s20260528_110443305727_435	2	2	3302	2192	2725	2910	1438	1620	1790	2603	-4.420.551.884	-2.014.344.905
74	2	s20260528_110443305727_435	2	2	3353	2240	2653	2847	1504	1708	1974	2463	-4.420.576.243	-2.014.340.590
75	2	s20260528_110443305727_435	2	2	3294	2176	2696	2881	1336	1514	1566	2671	-4.420.547.245	-2.014.340.166
76	2	s20260528_110443305727_435	2	2	3352	2220	3191	3495	1387	1628	1572	3963	-4.420.498.698	-2.014.368.933
77	2	s20260528_110443305727_435	2	2	3445	2300	3070	3414	1603	1924	2052	3232	-4.420.502.986	-2.014.357.389
78	2	s20260528_110443305727_435	2	2	3344	2270	2565	2791	1564	1678	1780	2504	-4.420.590.007	-2.014.333.174
79	2	s20260528_110443305727_435	2	2	3368	2205	2978	3228	1561	1745	1860	3035	-4.420.512.776	-2.014.356.323
80	2	s20260528_110443305727_435	2	2	3355	2238	2786	3045	1396	1620	1974	2906	-4.420.541.186	-2.014.354.169
81	2	s20260528_110443305727_435	2	2	3382	2302	3151	3423	1410	1733	1952	3755	-4.420.488.898	-2.014.371.993
82	2	s20260528_110443305727_435	2	2	3340	2276	3213	3559	1580	1798	1816	3543	-4.420.667.308	-2.014.340.725
83	2	s20260528_110443305727_435	2	2	3307	2321	2676	2746	1574	1782	1951	2295	-4.420.591.321	-2.014.350.743
84	2	s20260528_110443305727_435	2	2	3440	2448	2796	3030	1586	1938	2410	3038	-4.420.623.941	-2.014.356.452
85	2	s20260528_110443305727_435	2	2	3310	2203	2815	3082	1611	1784	2012	2942	-4.420.542.634	-2.014.365.379
86	2	s20260528_110443305727_435	2	2	3376	2401	2927	3144	1532	1807	2180	2851	-4.420.644.401	-2.014.345.451
87	2	s20260528_110443305727_435	2	2	3324	2210	2749	2877	1517	1718	1814	2730	-4.420.537.001	-2.014.391.402
88	2	s20260528_110443305727_435	2	2	3344	2270	2565	2791	1564	1678	1780	2504	-4.420.588.113	-2.014.335.076
89	2	s20260528_110443305727_435	2	2	3402	2282	3129	3493	1351	1678	1785	3772	-4.420.498.148	-2.014.361.232
